,맥주,년,평점
0,7Bräu Gompyo Wheatbeer, 2022,3.2
1,7Bräu Korea Pale Ale, 2015,3.15
2,7Bräu Korea Pale Ale, 2016,3.1142857142857143
3,7Bräu Korea Pale Ale, 2017,2.8
4,7Bräu Korea Pale Ale, 2021,3.4
5,7Bräu Korea Pale Ale, 2022,3.7
6,ARK Be High IPA, 2015,3.7285714285714286
7,ARK Be High IPA, 2016,3.228571428571428
8,ARK Be High IPA, 2017,3.5200000000000005
9,ARK Be High IPA, 2018,3.55
10,ARK Be High IPA, 2019,3.1
11,ARK Black Swan, 2016,3.314285714285714
12,ARK Black Swan, 2017,3.625
13,ARK Black Swan, 2018,3.25
14,ARK Brown, 2017,3.2
15,ARK Brown, 2018,2.5
16,ARK Classic, 2017,3.7000000000000006
17,ARK Classic, 2018,3.4
18,ARK Cony, 2017,3.45
19,ARK Cosmic Dancer, 2015,3.3000000000000003
20,ARK Cosmic Dancer, 2016,3.46
21,ARK Cosmic Dancer, 2017,3.8666666666666667
22,ARK Cosmic Dancer, 2018,3.15
23,ARK Hug Me, 2015,3.5
24,ARK Hug Me, 2016,2.8166666666666664
25,ARK Hug Me, 2017,3.283333333333333
26,ARK Hug Me, 2018,2.575
27,ARK Hug Me, 2019,3.1
28,ARK Hug Me, 2021,3.4
29,ARK Seoulite Ale, 2018,2.8833333333333333
30,ARK Seoulite Ale, 2019,3.05
31,ARK Seoulite Ale, 2020,3.35
32,ARK Yeosu Night Ale, 2021,3.4
33,ARK Yeosu Night Ale, 2022,3.3
34,Amazing First Love, 2017,3.65
35,Amazing First Love, 2018,4.3
36,Amazing First Love, 2019,3.45
37,Amazing First Love, 2020,3.95
38,Amazing Shocking Stout, 2016,3.725
39,Amazing Shocking Stout, 2017,3.975
40,Amazing Shocking Stout, 2018,3.7999999999999994
41,Amazing Shocking Stout, 2019,3.7
42,Amazing Shocking Stout, 2020,3.6
43,Apple Fox, 2018,2.75
44,Apple Fox, 2019,2.25
45,Apple Fox, 2021,2.5
46,Asahi Super Dry, 2010,2.0742857142857143
47,Asahi Super Dry, 2011,2.2284403669724773
48,Asahi Super Dry, 2012,2.125714285714286
