,name
1,Asahi Super Dry
53,Asahi Super Dry Black
56,Bavaria 8.6 (Original)
20,Beck's
48,Berliner Kindl Jubiläums Pilsener Premium
9,Bintang Pilsener
27,Budweiser
45,Carlsberg Pilsner
7,Cass Fresh
17,Castlemaine XXXX Gold Lager
51,Desperados
38,Edelweiss Weissbier Snowfresh
42,Egger Grapefruit Radler
55,Egger Märzenbier
47,Eichbaum Apostel Bräu
36,Erdinger Weissbier
59,Erdinger Weissbier Dunkel
33,Gambrinus Originál 10° (Desítka)
16,Grolsch Premium Lager
29,Guinness Draught
19,Harbin Beer
3,Heineken
52,Heineken Dark Lager
23,Hite D (Dry Finish)
25,Hite Extra Cold
24,Hite Prime Max
50,Hoegaarden
57,Hoegaarden Rosée
14,Holsten Premium Bier
31,Jeju Wit Ale
4,Kirin Ichiban
21,Kloud Fitz Super Clear
0,Kloud Original Gravity
54,Kozel Černý (Dark) 10°
34,Krombacher Weizen
30,Kronenbourg 1664 Blanc
15,Lapin Kulta IV A
18,Löwenbräu Original (4.2%)
26,Miller Genuine Draft (MGD)
22,OB Premier Pilsner
37,Paulaner Hefe-Weissbier
13,Peroni Nastro Azzurro
32,Pilsner Urquell
58,Red Rock
44,Reeper B. Exotisches IPA
6,San Miguel
12,Sapporo Yebisu
43,Schöfferhofer Grapefruit
5,Stella Artois
39,Stephans Bräu Hefe-Weizen Naturtrüb
28,Stephans Bräu Premium Lager
46,Stephans Bräu Premium Pilsener
10,Suntory The Premium Malt's
11,Tiger Beer
41,Tiger Radler Lemon
2,Tsingtao
35,Tsingtao Wheat Beer
8,Victoria Bitter
40,Volfas Engelman Grünberger Hefeweizen
49,Warsteiner Premium Verum
