,아이디,맥주,날짜,평점,Aroma,Appearance,Flavor,Mouthfeel,Overall,맥주도수
15,Dzony95(242),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.5,6,4,8,3,14,5.0
21,TrappistExports38(266),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.3,7,3,7,3,13,5.0
24,"jybi(2,071)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,4.3,9,5,8,4,17,5.0
27,lucyfer(748),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.0,6,3,7,2,12,5.0
31,Kurtos(325),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.7,8,4,7,4,14,5.0
43,"voyageurmike(1,002)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.7,8,4,8,4,13,5.0
47,Yarowind(324),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,2.8,6,3,6,3,10,5.0
55,DaridoPL(340),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.4,7,4,9,2,12,5.0
57,Avetixz(147),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.3,7,4,6,3,13,5.0
58,crazykiller(180),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.8,7,4,8,3,16,5.0
59,"Pimot(1,448)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.5,7,3,7,4,14,5.0
61,AndreiProdan(220),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,4.1,8,4,8,4,17,5.0
68,odinstyr(969),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.6,7,3,7,4,15,5.0
72,Maltmonster(210),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,2.9,6,2,6,3,12,5.0
88,"Manslow(2,578)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,4.3,9,4,8,4,18,5.0
95,BarrelMonger107(271),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,4.2,7,4,9,5,17,5.0
97,"Whatup14(3,399)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,4.0,8,4,8,4,16,5.0
100,Kronhjort1996(510),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,4.5,8,5,8,4,20,5.0
102,CiderChamp44(352),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.4,5,4,8,3,14,5.0
106,OzarkElmo(372),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.8,7,4,8,4,15,5.0
110,"ophone(1,379)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.3,7,4,6,3,13,5.0
111,DraftAromas7(227),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.6,6,4,7,3,16,5.0
116,Radubrew(228),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,4.3,10,4,9,4,16,5.0
121,"Tasche39(1,088)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.3,7,3,7,3,13,5.0
123,"dimeon(1,601)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.3,7,3,7,3,13,5.0
124,pippomix(313),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.8,7,4,8,3,16,5.0
129,NobleTeam26(760),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.5,7,4,7,4,13,5.0
134,"z87(3,055)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.7,7,3,8,4,15,5.0
136,"Jabah(2,532)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.0,6,3,6,3,12,5.0
149,ibanlabestia(177),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,4.0,7,5,8,4,16,5.0
150,Demens(843),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,4.2,9,4,8,4,17,5.0
153,Fullpintofbeer(692),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,4.0,8,4,7,4,17,5.0
158,PubTun33(308),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,4.0,7,4,8,4,17,5.0
160,"mkcmagico(1,219)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,4.2,9,5,8,4,16,5.0
162,pytrysek(825),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.2,6,3,6,3,14,5.0
164,"dantomlinson(1,454)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,4.0,9,4,8,3,16,5.0
165,oblaten(284),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,2.5,5,3,4,3,10,5.0
173,"Kiezmar(2,545)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.6,7,5,7,4,13,5.0
179,"sparta(3,330)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.0,6,3,6,3,12,5.0
180,DraftSensei110(794),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.6,7,3,7,3,16,5.0
183,davidfs(643),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.7,6,4,8,4,15,5.0
184,"Juks(4,443)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.4,7,4,6,3,14,5.0
185,"ricardostercios(1,586)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,4.1,8,4,8,4,17,5.0
188,"BeerVegard(1,124)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.7,8,5,8,4,12,5.0
191,luka237(441),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.8,9,5,9,5,10,5.0
194,"acemilan(1,055)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.9,8,5,8,3,15,5.0
203,jobe977(234),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.5,7,4,7,4,13,5.0
204,panda_brewmaster(808),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.5,7,4,7,4,13,5.0
205,"ajnepple(12,996)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.5,7,4,6,4,14,5.0
206,"borowik(1,131)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.0,6,3,6,3,12,5.0
212,Brokkie(929),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.5,7,4,5,3,16,5.0
222,Flag08(456),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.9,8,4,8,4,15,5.0
223,"jooilakon(1,059)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.8,7,4,8,4,15,5.0
225,browarpapi(855),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.4,7,4,7,3,13,5.0
230,kamilinho(733),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.3,7,3,7,3,13,5.0
237,ratesneer(165),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,2.7,6,3,4,3,11,5.0
238,thebaron99(137),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,4.1,7,3,9,4,18,5.0
239,Belu_metal(73),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.4,6,2,8,2,16,5.0
246,MartinNaxera(793),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.8,8,4,7,4,15,5.0
248,pityu(911),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,4.1,8,5,8,4,16,5.0
254,"bilcho1(1,522)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.6,5,5,7,5,14,5.0
256,tzynamoon(915),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.5,7,4,7,3,14,5.0
257,royalbeer(626),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,2.1,5,4,2,2,8,5.0
258,"macca147(1,839)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.4,6,4,6,4,14,5.0
259,"Freaky_tiki(1,770)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.8,7,3,8,4,16,5.0
261,Banzale(379),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.9,8,3,8,3,17,5.0
275,"ebone1988(2,504)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,4.0,8,4,8,4,16,5.0
276,"motthes(1,316)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,2.8,5,3,7,3,10,5.0
278,malibrat(870),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.7,7,4,8,3,15,5.0
279,brandon1989(847),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,2.9,6,3,6,3,11,5.0
282,psilosophy(861),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.6,7,4,7,3,15,5.0
285,"ttppk197(2,870)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.5,7,4,7,4,13,5.0
288,"erling1000(1,440)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.9,8,3,8,4,16,5.0
292,"beer_rookie(1,123)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.9,8,5,6,5,15,5.0
293,"metalspice(2,070)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.5,7,3,7,3,15,5.0
294,coil(733),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.5,7,3,7,3,15,5.0
296,ferjho224(143),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.3,7,3,7,4,12,5.0
297,deepdrinker(384),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,4.2,8,4,8,4,18,5.0
302,"rdixon77(3,705)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.6,7,3,8,3,15,5.0
303,alexmate(630),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.2,6,4,6,3,13,5.0
308,k_gadeberg(874),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,2.6,6,4,4,4,8,5.0
310,"Towey1989(5,546)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.3,7,3,7,3,13,5.0
314,equisetum(773),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,4.4,9,5,8,5,17,5.0
315,"FunkyF(2,854)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.4,6,4,7,3,14,5.0
317,p0urmeac0ld0ne(791),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.4,6,5,6,5,12,5.0
320,MRMedellin(410),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.6,6,4,6,4,16,5.0
324,"MBlessing(4,101)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.0,6,3,6,3,12,5.0
326,Porcellini(66),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.6,7,4,8,4,13,5.0
327,sephyrott(677),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,4.1,7,5,8,4,17,5.0
331,"kaserov(2,320)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.8,8,4,8,3,15,5.0
334,Davros IX(895),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.4,7,5,8,3,11,5.0
336,"wilde_joost59(1,301)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,4.1,7,4,8,4,18,5.0
338,BillHick420(472),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.5,7,3,7,3,15,5.0
345,Celikelf(79),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,2.9,5,3,6,3,12,5.0
353,"SimonBlok(1,732)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.6,7,4,8,3,14,5.0
354,Nikokaoja(507),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.8,7,3,8,4,16,5.0
358,"Fules(1,917)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.5,6,3,8,4,14,5.0
359,vlada94(553),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.0,6,3,6,3,12,5.0
366,DonGregorio(932),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.6,7,4,7,4,14,5.0
367,Jabic(983),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,4.1,8,5,7,4,17,5.0
369,JtanK(790),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,4.1,7,5,8,4,17,5.0
370,Oiolosse(260),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.6,6,4,8,4,14,5.0
373,beerstar88(585),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.5,6,5,7,4,13,5.0
374,kdd230(107),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,4.1,7,4,8,4,18,5.0
378,"AdamChandler(6,103)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.9,8,4,7,5,15,5.0
386,martpez(735),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.5,6,4,8,3,14,5.0
387,"smaynard6000(1,432)",Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.8,8,4,8,4,14,5.0
391,ROSE1962(380),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,4.0,7,4,8,4,17,5.0
392,stupre(538),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.0,5,4,6,3,12,5.0
393,Acaro(472),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,2.4,6,3,4,3,8,5.0
394,geolgau(544),Franziskaner Hefe-Weissbier / Weissbier Naturtrub,5.0,3.5,8,3,8,4,12,5.0
